epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,482.798,2.35018,1.71963,1.04367,0.41493,0.5122,0.34638,0.09658,1.84338,2.65449,0.8641,0.0015974,0.0015974,0.0015974
63,488.652,2.24847,1.59693,0.9946,0.46726,0.52778,0.39488,0.11468,1.85038,1.72577,0.86776,0.0015908,0.0015908,0.0015908
64,494.212,2.34252,1.65016,1.01924,0.53184,0.58889,0.4345,0.13701,1.73296,3.00373,0.83669,0.0015842,0.0015842,0.0015842
65,501.653,2.30866,1.61863,1.03821,0.44856,0.5197,0.38494,0.11808,1.7882,3.82384,0.8601,0.0015776,0.0015776,0.0015776
66,511.188,2.39945,1.68304,1.01211,0.4856,0.5,0.4056,0.12315,1.8599,3.65458,0.87591,0.001571,0.001571,0.001571
67,520.486,2.36373,1.72166,1.01203,0.52967,0.55,0.47266,0.12502,1.87957,3.01286,0.87837,0.0015644,0.0015644,0.0015644
68,528.218,2.31287,1.62015,0.99823,0.51588,0.53333,0.43647,0.14097,1.8012,2.52543,0.85995,0.0015578,0.0015578,0.0015578
69,536.922,2.33693,1.73214,1.0252,0.40343,0.48889,0.34438,0.10479,1.79628,3.92866,0.85306,0.0015512,0.0015512,0.0015512
70,545.728,2.30859,1.65666,1.02596,0.38851,0.5,0.33977,0.09562,1.87286,2.31501,0.87568,0.0015446,0.0015446,0.0015446
71,554.353,2.34673,1.72356,1.01053,0.45764,0.48333,0.37735,0.11336,1.83678,2.28466,0.8597,0.001538,0.001538,0.001538
72,561.787,2.30551,1.69673,0.98088,0.47918,0.50556,0.41553,0.10882,1.87341,4.46152,0.86162,0.0015314,0.0015314,0.0015314
73,569.867,2.36126,1.73373,0.9979,0.56177,0.5911,0.50455,0.14811,1.78125,2.76855,0.827,0.0015248,0.0015248,0.0015248
74,578.122,2.35091,1.68017,0.99101,0.4944,0.51111,0.39141,0.12852,1.80534,4.31594,0.84316,0.0015182,0.0015182,0.0015182
75,586.957,2.30261,1.56352,1.02705,0.4998,0.51667,0.40856,0.12223,1.8993,3.35372,0.85009,0.0015116,0.0015116,0.0015116
76,594.51,2.36277,1.6765,0.98869,0.45076,0.53889,0.36554,0.09275,1.85754,3.59081,0.8518,0.001505,0.001505,0.001505
77,602.99,2.33859,1.6424,1.03041,0.54263,0.59444,0.52218,0.16618,1.72384,3.12929,0.83241,0.0014984,0.0014984,0.0014984
78,611.525,2.32194,1.70618,1.0044,0.54852,0.52778,0.46842,0.14059,1.84204,4.43793,0.86745,0.0014918,0.0014918,0.0014918
79,620.442,2.328,1.63336,1.03188,0.62044,0.5,0.4996,0.14747,1.8859,2.21618,0.87764,0.0014852,0.0014852,0.0014852
80,629.069,2.30569,1.61974,0.99024,0.46552,0.57222,0.45028,0.15011,1.72884,5.05848,0.82818,0.0014786,0.0014786,0.0014786
81,637.45,2.30097,1.59441,1.03982,0.57488,0.57847,0.51064,0.16407,1.69082,3.17748,0.82159,0.001472,0.001472,0.001472
82,646.473,2.26249,1.65088,0.99459,0.53337,0.55883,0.46108,0.14219,1.73044,2.2494,0.81224,0.0014654,0.0014654,0.0014654
83,655.183,2.31692,1.58094,1.01874,0.46297,0.57222,0.43201,0.13738,1.81258,3.40918,0.83057,0.0014588,0.0014588,0.0014588
84,663.578,2.27493,1.67582,1.01932,0.47052,0.51667,0.42767,0.13973,1.85123,7.38168,0.85819,0.0014522,0.0014522,0.0014522
85,671.927,2.25425,1.56228,0.99546,0.50535,0.5846,0.47514,0.13933,1.79488,2.42931,0.85366,0.0014456,0.0014456,0.0014456
86,680.921,2.26546,1.54383,0.97402,0.51864,0.51667,0.38669,0.10926,1.88952,3.61633,0.85508,0.001439,0.001439,0.001439
87,688.435,2.25994,1.6063,0.98736,0.50301,0.56667,0.46102,0.14537,1.86652,3.30053,0.85038,0.0014324,0.0014324,0.0014324
88,697.557,2.27712,1.64066,1.01159,0.44767,0.51783,0.37889,0.11833,1.79656,3.54453,0.83694,0.0014258,0.0014258,0.0014258
89,706.483,2.28898,1.59815,1.00049,0.5414,0.62307,0.51243,0.17105,1.73219,3.69233,0.84347,0.0014192,0.0014192,0.0014192
90,715.765,2.27942,1.6189,0.99121,0.51526,0.57778,0.44838,0.13776,1.93402,2.14247,0.92128,0.0014126,0.0014126,0.0014126
91,723.071,2.21928,1.6075,0.99731,0.52353,0.5494,0.46994,0.1497,1.88658,1.82682,0.88203,0.001406,0.001406,0.001406
92,732.035,2.23054,1.67263,1.00462,0.47413,0.54597,0.42508,0.15361,1.74094,3.12296,0.84665,0.0013994,0.0013994,0.0013994
