epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2929.93,1.60666,0.8957,1.01235,0.82233,0.78059,0.82562,0.37636,1.75339,0.98869,1.04335,0.0014192,0.0014192,0.0014192
90,2958.01,1.64585,0.89489,1.00418,0.82383,0.76371,0.80722,0.38621,1.66244,1.09395,1.02807,0.0014126,0.0014126,0.0014126
91,2985.9,1.61265,0.9328,1.01853,0.81407,0.79747,0.81079,0.38691,1.60346,1.1174,1.0107,0.001406,0.001406,0.001406
92,3013.85,1.61237,0.89021,0.99702,0.80819,0.81782,0.81927,0.35965,1.7073,0.95412,1.03824,0.0013994,0.0013994,0.0013994
93,3041.77,1.62925,0.90816,0.98065,0.84385,0.77529,0.80939,0.35835,1.71643,1.07956,1.03289,0.0013928,0.0013928,0.0013928
94,3069.68,1.61922,0.92168,0.99898,0.85362,0.77637,0.82419,0.37786,1.69367,0.89488,1.02979,0.0013862,0.0013862,0.0013862
95,3097.59,1.56357,0.8784,0.99643,0.87375,0.81013,0.87887,0.40159,1.69483,0.84475,1.03413,0.0013796,0.0013796,0.0013796
96,3125.4,1.59648,0.909,1.01623,0.83582,0.79479,0.8402,0.3952,1.67125,0.90504,1.02518,0.001373,0.001373,0.001373
97,3153.22,1.58333,0.88058,0.99301,0.83502,0.79747,0.81943,0.37308,1.65604,0.99208,1.02165,0.0013664,0.0013664,0.0013664
98,3181.13,1.60401,0.88254,0.99577,0.84464,0.75703,0.82646,0.37835,1.68921,1.01767,1.01193,0.0013598,0.0013598,0.0013598
99,3209,1.57732,0.86343,0.9937,0.82421,0.79325,0.84583,0.38189,1.70642,0.89802,1.02461,0.0013532,0.0013532,0.0013532
100,3236.88,1.60301,0.89015,1.01895,0.83652,0.81435,0.82985,0.38083,1.65011,0.88068,1.01238,0.0013466,0.0013466,0.0013466
101,3264.8,1.57574,0.86325,0.99703,0.85904,0.79716,0.83834,0.37664,1.71378,0.91773,1.04487,0.00134,0.00134,0.00134
102,3292.83,1.56724,0.85077,1.00225,0.84283,0.79194,0.82269,0.38917,1.6515,0.92753,1.01622,0.0013334,0.0013334,0.0013334
103,3320.53,1.65199,0.91723,1.00601,0.86103,0.80591,0.86073,0.37362,1.70312,0.97169,1.02596,0.0013268,0.0013268,0.0013268
104,3348.6,1.59456,0.88116,1.01039,0.81575,0.76793,0.79878,0.36111,1.72402,0.93894,1.02297,0.0013202,0.0013202,0.0013202
105,3376.64,1.56225,0.85069,0.98942,0.85294,0.78903,0.83195,0.39458,1.71383,0.90342,1.0505,0.0013136,0.0013136,0.0013136
106,3404.68,1.5694,0.86169,1.00523,0.87744,0.7854,0.87091,0.41075,1.64476,0.89137,1.02432,0.001307,0.001307,0.001307
107,3433.1,1.55504,0.83022,0.99907,0.85505,0.81435,0.84353,0.38705,1.65589,0.88795,1.02719,0.0013004,0.0013004,0.0013004
108,3461.19,1.58846,0.88131,1.00321,0.83514,0.78481,0.83212,0.38319,1.67411,0.93137,1.02742,0.0012938,0.0012938,0.0012938
109,3489.2,1.58727,0.86703,0.99367,0.80386,0.80169,0.84393,0.39962,1.65676,0.98654,1.02297,0.0012872,0.0012872,0.0012872
110,3517.21,1.57129,0.8791,0.99602,0.85278,0.79747,0.84446,0.3836,1.67152,0.86819,1.02872,0.0012806,0.0012806,0.0012806
111,3545.12,1.56625,0.84166,0.98986,0.83989,0.7968,0.83987,0.37952,1.62707,1.01749,1.01935,0.001274,0.001274,0.001274
112,3573.02,1.54984,0.83881,0.9918,0.87176,0.77447,0.83162,0.38755,1.67746,0.93516,1.0201,0.0012674,0.0012674,0.0012674
113,3600.89,1.53595,0.84968,0.99155,0.76314,0.78903,0.79105,0.38408,1.62355,1.12761,1.00668,0.0012608,0.0012608,0.0012608
114,3628.78,1.60475,0.88719,0.99579,0.77576,0.78059,0.80793,0.37491,1.68484,1.08685,1.02366,0.0012542,0.0012542,0.0012542
115,3656.78,1.58827,0.85637,0.98358,0.82347,0.81013,0.83435,0.38727,1.68202,0.92813,1.03591,0.0012476,0.0012476,0.0012476
116,3684.72,1.52373,0.83787,1.00071,0.872,0.81435,0.86861,0.40565,1.65137,0.84471,1.02503,0.001241,0.001241,0.001241
117,3712.55,1.54825,0.86628,0.98672,0.85041,0.80169,0.86561,0.41392,1.63775,0.88563,1.02102,0.0012344,0.0012344,0.0012344
118,3740.66,1.59647,0.86015,0.986,0.87474,0.79747,0.85671,0.40873,1.64667,0.87257,1.02251,0.0012278,0.0012278,0.0012278
119,3768.56,1.54365,0.83772,0.9739,0.84848,0.78903,0.84042,0.39047,1.69188,0.85635,1.02311,0.0012212,0.0012212,0.0012212
120,3796.44,1.55781,0.86063,0.9855,0.84242,0.76371,0.83493,0.40611,1.65182,0.95728,1.02296,0.0012146,0.0012146,0.0012146
121,3824.3,1.5483,0.84586,0.98802,0.85723,0.81013,0.85776,0.40095,1.71455,0.89476,1.03709,0.001208,0.001208,0.001208
122,3852.23,1.5412,0.86931,0.99675,0.84495,0.77637,0.84776,0.41667,1.66148,0.87431,1.01323,0.0012014,0.0012014,0.0012014
123,3880.27,1.55859,0.84564,0.98609,0.86066,0.78059,0.82513,0.3902,1.66524,0.95704,1.03128,0.0011948,0.0011948,0.0011948
124,3908.13,1.55293,0.83311,1.00417,0.85275,0.80635,0.85805,0.40391,1.63487,0.87878,1.00956,0.0011882,0.0011882,0.0011882
125,3936.17,1.52858,0.83611,0.99961,0.83866,0.78059,0.82812,0.38011,1.6897,0.96654,1.02982,0.0011816,0.0011816,0.0011816
126,3964.26,1.47817,0.83466,0.98571,0.84776,0.76793,0.84813,0.39906,1.6827,0.95283,1.02871,0.001175,0.001175,0.001175
127,3992.3,1.54894,0.8564,0.98545,0.83096,0.81013,0.84286,0.38788,1.70528,0.87503,1.02354,0.0011684,0.0011684,0.0011684
128,4020.49,1.54385,0.84327,0.97672,0.87511,0.82782,0.88067,0.39838,1.70054,0.8952,1.02646,0.0011618,0.0011618,0.0011618
129,4048.69,1.5305,0.83329,0.97932,0.86198,0.79059,0.86529,0.40455,1.65538,0.90206,1.02146,0.0011552,0.0011552,0.0011552
130,4076.71,1.53785,0.82507,0.98273,0.79991,0.827,0.85123,0.40867,1.62191,0.85957,1.01,0.0011486,0.0011486,0.0011486
131,4104.65,1.49413,0.80544,0.98183,0.75573,0.78903,0.81916,0.38323,1.67148,1.02028,1.02,0.001142,0.001142,0.001142
